Generation,Name,Party,BirthYear,BillCount,BioguideID,OfficialPhotoURL,PhotoURL
Gen X,"Houchin, Erin",R,1976.0,49,H001093,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/H001093.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/H001093.jpg
Gen X,"Goldman, Daniel S.",D,1976.0,38,G000599,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/G000599.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/G000599.jpg
Gen X,"Davis, Donald G.",D,1971.0,47,D000230,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/D000230.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/D000230.jpg
Gen X,"Collins, Mike",R,1967.0,25,C001129,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/C001129.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/C001129.jpg
Gen X,"Burlison, Eric",R,1976.0,45,B001316,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001316.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001316.jpg
Gen X,"Budzinski, Nikki",D,1977.0,27,B001315,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001315.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001315.jpg
Gen X,"Brecheen, Josh",R,1979.0,44,B001317,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001317.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001317.jpg
Gen X,"McClain, Lisa C.",R,1966.0,64,M001136,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001136.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001136.jpg
Gen X,"Tlaib, Rashida",D,1976.0,115,T000481,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/T000481.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/T000481.jpg
Gen X,"Mast, Brian J.",R,1980.0,141,M001199,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001199.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001199.jpg
Gen X,"LaHood, Darin",R,1968.0,129,L000585,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/L000585.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/L000585.jpg
Gen X,"Hudson, Richard",R,1971.0,140,H001067,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/H001067.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/H001067.jpg
Gen X,"Huizenga, Bill",R,1969.0,161,H001058,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/H001058.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/H001058.jpg
Gen X,"Wasserman Schultz, Debbie",D,1966.0,167,W000797,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/W000797.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/W000797.jpg
Gen X,"Strong, Dale W.",R,1970.0,27,S001220,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001220.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001220.jpg
Gen X,"Mullin, Kevin",D,1970.0,23,M001225,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001225.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001225.jpg
Gen X,"Kamlager-Dove, Sydney",D,1972.0,54,K000400,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/K000400.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/K000400.jpg
Gen X,"Garcia, Robert",D,1977.0,40,G000598,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/G000598.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/G000598.jpg
Gen X,"Crane, Elijah",R,1980.0,44,C001132,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/C001132.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/C001132.jpg
Gen X,"Bean, Aaron",R,1967.0,36,B001314,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001314.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001314.jpg
Gen X,"Finstad, Brad",R,1976.0,49,F000475,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/F000475.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/F000475.jpg
Gen X,"Flood, Mike",R,1975.0,36,F000474,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/F000474.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/F000474.jpg
Gen X,"Cherfilus-McCormick, Sheila",D,1979.0,37,C001127,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/C001127.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/C001127.jpg
Gen X,"Carey, Mike",R,1971.0,48,C001126,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/C001126.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/C001126.jpg
Gen X,"Brown, Shontel M.",D,1975.0,32,B001313,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001313.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001313.jpg
Gen X,"Ellzey, Jake",R,1970.0,9,E000071,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/E000071.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/E000071.jpg
