Generation,Name,Party,BirthYear,BillCount
Baby Boomer,"Fulcher, Russ",R,1962,44
Baby Boomer,"Hern, Kevin",R,1961,69
Baby Boomer,"Morelle, Joseph D.",D,1957,124
Baby Boomer,"Balderson, Troy",R,1962,56
Baby Boomer,"Norman, Ralph",R,1953,168
Baby Boomer,"Estes, Ron",R,1956,60
Baby Boomer,"Espaillat, Adriano",D,1954,214
Baby Boomer,"Bacon, Don",R,1963,182
Baby Boomer,"Bergman, Jack",R,1947,93
Baby Boomer,"Raskin, Jamie",D,1962,120
Baby Boomer,"Higgins, Clay",R,1961,153
Baby Boomer,"Dunn, Neal P.",R,1953,83
Baby Boomer,"Correa, J. Luis",D,1958,115
Baby Boomer,"Carbajal, Salud O.",D,1964,139
Baby Boomer,"Schneider, Bradley Scott",D,1961,209
Baby Boomer,"Webster, Daniel",R,1949,57
Baby Boomer,"Case, Ed",D,1952,129
Baby Boomer,"Biggs, Andy",R,1958,915
Baby Boomer,"Grothman, Glenn",R,1955,170
Baby Boomer,"Newhouse, Dan",R,1955,160
Baby Boomer,"Beyer, Donald S.",D,1950,233
Baby Boomer,"Babin, Brian",R,1948,99
Baby Boomer,"Emmer, Tom",R,1961,126
Baby Boomer,"Bost, Mike",R,1960,134
Baby Boomer,"Allen, Rick W.",R,1951,68
Baby Boomer,"Loudermilk, Barry",R,1963,71
Baby Boomer,"Carter, Earl L. ""Buddy""",R,1957,196
Baby Boomer,"Hill, J. French",R,1956,138
Baby Boomer,"Radewagen, Aumua Amata Coleman",R,1947,42
Baby Boomer,"Palmer, Gary J.",R,1954,107
Baby Boomer,"Norcross, Donald",D,1958,101
Baby Boomer,"Adams, Alma S.",D,1946,172
Baby Boomer,"Clark, Katherine M.",D,1963,88
Baby Boomer,"Clarke, Yvette D.",D,1964,193
Baby Boomer,"Tonko, Paul",D,1949,210
Baby Boomer,"Kelly, Robin L.",D,1956,148
Baby Boomer,"Meeks, Gregory W.",D,1953,230
Baby Boomer,"Velázquez, Nydia M.",D,1953,492
Baby Boomer,"Turner, Michael R.",R,1960,188
Baby Boomer,"Pocan, Mark",D,1964,155
Baby Boomer,"Williams, Roger",R,1949,133
Baby Boomer,"Weber, Randy K. Sr.",R,1953,99
Baby Boomer,"Joyce, David P.",R,1957,135
Baby Boomer,"Beatty, Joyce",D,1950,170
Baby Boomer,"Wagner, Ann",R,1962,128
Baby Boomer,"Brownley, Julia",D,1952,295
Baby Boomer,"Huffman, Jared",D,1964,232
Baby Boomer,"LaMalfa, Doug",R,1960,128
Baby Boomer,"DelBene, Suzan K.",D,1962,145
Baby Boomer,"Bonamici, Suzanne",D,1954,264
Baby Boomer,"Amodei, Mark E.",R,1958,105
Baby Boomer,"Wittman, Robert J.",R,1959,205
Baby Boomer,"Latta, Robert E.",R,1956,232
Baby Boomer,"Griffith, H. Morgan",R,1958,206
Baby Boomer,"DesJarlais, Scott",R,1964,52
Baby Boomer,"Fleischmann, Charles J. ""Chuck""",R,1962,49
Baby Boomer,"Harris, Andy",R,1957,47
Baby Boomer,"Keating, William R.",D,1952,165
Baby Boomer,"Womack, Steve",R,1957,61
Baby Boomer,"Cohen, Steve",D,1949,479
Baby Boomer,"Jordan, Jim",R,1964,55
Baby Boomer,"Buchanan, Vern",R,1951,207
Baby Boomer,"Bilirakis, Gus M.",R,1963,287
Baby Boomer,"Quigley, Mike",D,1958,188
Baby Boomer,"Titus, Dina",D,1950,225
Baby Boomer,"Pingree, Chellie",D,1955,172
Baby Boomer,"Guthrie, Brett",R,1964,132
Baby Boomer,"Foster, Bill",D,1955,262
Baby Boomer,"McGovern, James P.",D,1959,416
Baby Boomer,"Neal, Richard E.",D,1949,234
Baby Boomer,"Moore, Gwen",D,1951,270
Baby Boomer,"Lynch, Stephen F.",D,1955,246
Baby Boomer,"Johnson, Henry C. ""Hank""",D,1954,251
Baby Boomer,"Courtney, Joe",D,1953,183
Baby Boomer,"Pallone, Frank",D,1951,572
Baby Boomer,"Simpson, Michael K.",R,1950,158
Baby Boomer,"Larson, John B.",D,1948,249
Baby Boomer,"DeGette, Diana",D,1957,243
Baby Boomer,"Thompson, Bennie G.",D,1948,251
Baby Boomer,"Smith, Christopher H.",R,1953,927
Baby Boomer,"Scott, Robert C. ""Bobby""",D,1947,328
Baby Boomer,"Bishop, Sanford D.",D,1947,140
Baby Boomer,"Lucas, Frank D.",R,1960,121
Baby Boomer,"Cuellar, Henry",D,1955,121
Baby Boomer,"McCaul, Michael T.",R,1962,253
Baby Boomer,"Cole, Tom",R,1949,220
Baby Boomer,"Rogers, Mike D.",R,1958,105
Baby Boomer,"Wilson, Joe",R,1947,330
Baby Boomer,"Graves, Sam",R,1963,266
Baby Boomer,"McCollum, Betty",D,1954,169
Baby Boomer,"Kaptur, Marcy",D,1946,502
Baby Boomer,"Wyden, Ron",D,1949,1858
Baby Boomer,"Warren, Elizabeth",D,1949,836
Baby Boomer,"Whitehouse, Sheldon",D,1955,697
Baby Boomer,"Welch, Peter",D,1947,629
Baby Boomer,"Wicker, Roger F.",R,1951,740
Baby Boomer,"Tuberville, Tommy",R,1954,299
Baby Boomer,"Tillis, Thomas",R,1960,664
Baby Boomer,"Warner, Mark R.",D,1954,708
Baby Boomer,"Van Hollen, Chris",D,1959,547
Baby Boomer,"Smith, Tina",D,1958,321
Baby Boomer,"Sullivan, Dan",R,1964,511
Baby Boomer,"Thune, John",R,1961,998
Baby Boomer,"Scott, Rick",R,1952,585
Baby Boomer,"Shaheen, Jeanne",D,1947,1121
Baby Boomer,"Schumer, Charles E.",D,1950,2422
Baby Boomer,"Schiff, Adam B.",D,1960,435
Baby Boomer,"Rosen, Jacky",D,1957,425
Baby Boomer,"Rounds, Mike",R,1954,382
Baby Boomer,"Ricketts, Pete",R,1964,95
Baby Boomer,"Paul, Rand",R,1963,1078
Baby Boomer,"Peters, Gary C.",D,1958,844
Baby Boomer,"Reed, Jack",D,1949,1234
Baby Boomer,"Murray, Patty",D,1950,1161
Baby Boomer,"Murkowski, Lisa",R,1957,1172
Baby Boomer,"Merkley, Jeff",D,1956,1150
Baby Boomer,"Moran, Jerry",R,1954,747
Baby Boomer,"Marshall, Roger",R,1960,483
